postcodes,latitude,longitude
B77 2NY,52.6158,-1.666383333333333
B77 3DG,52.6158,-1.666383333333333
B77 3DQ,52.6158,-1.666383333333333
B77 3LN,52.6158,-1.666383333333333
B77 4EW,52.6158,-1.666383333333333
B77 4JA,52.6158,-1.666383333333333
B77 5DL,52.6158,-1.666383333333333
B77 5EG,52.6158,-1.666383333333333
B77 5EN,52.6158,-1.666383333333333
B77 5PS,52.6158,-1.666383333333333
B78 1DT,52.642,-1.6935888888888888
B78 1DX,52.642,-1.6935888888888888
B78 1SS,52.642,-1.6935888888888888
B78 1TQ,52.642,-1.6935888888888888
B78 1TR,52.642,-1.6935888888888888
B78 2HH,52.642,-1.6935888888888888
B78 3HB,52.642,-1.6935888888888888
B78 3HD,52.642,-1.6935888888888888
B78 3HH,52.642,-1.6935888888888888
B78 3NF,52.642,-1.6935888888888888
B78 3RB,52.642,-1.6935888888888888
B79 7AG,52.6573,-1.6657124999999997
B79 7DH,52.6573,-1.6657124999999997
B79 7HE,52.6573,-1.6657124999999997
B79 7HH,52.6573,-1.6657124999999997
B79 7LG,52.6573,-1.6657124999999997
B79 7LJ,52.6573,-1.6657124999999997
B79 7NJ,52.6573,-1.6657124999999997
B79 7NU,52.6573,-1.6657124999999997
B79 7NZ,52.6573,-1.6657124999999997
B79 8AP,52.6573,-1.6657124999999997
B79 8JT,52.6573,-1.6657124999999997
B8 2EP,52.4916,-1.8596
B8 2NY,52.4916,-1.8596
B8 2XJ,52.4916,-1.8596
B80 7AR,52.2703,-1.8821599999999998
B80 7LL,52.2703,-1.8821599999999998
B9 5NA,52.4783,-1.8506
B9 5QH,52.4783,-1.8506
B9 5XT,52.4783,-1.8506
B90 1JS,52.4107,-1.8195
B90 1UA,52.4107,-1.8195
B90 2EH,52.4107,-1.8195
B90 2NG,52.4107,-1.8195
B90 3AG,52.4107,-1.8195
B90 3AR,52.4107,-1.8195
B90 3ES,52.4107,-1.8195
B90 3GG,52.4107,-1.8195
B90 3LU,52.4107,-1.8195
B90 3RP,52.4107,-1.8195
B90 4AJ,52.4107,-1.8195
B90 4EH,52.4107,-1.8195
B90 4EN,52.4107,-1.8195
B90 4QY,52.4107,-1.8195
B91 1BQ,52.4143,-1.7809
B91 1HT,52.4143,-1.7809
B91 2LJ,52.4143,-1.7809
B91 2TJ,52.4143,-1.7809
B91 3AR,52.4143,-1.7809
B91 3AT,52.4143,-1.7809
B91 3BP,52.4143,-1.7809
B91 3BQ,52.4143,-1.7809
B91 3BX,52.4143,-1.7809
B91 3DA,52.4143,-1.7809
B91 3QG,52.4143,-1.7809
B91 3TB,52.4143,-1.7809
B92 0EH,52.4397,-1.7595666666666665
B92 7HS,52.4397,-1.7595666666666665
B92 7QW,52.4397,-1.7595666666666665
B92 8JJ,52.4397,-1.7595666666666665
B92 8JN,52.4397,-1.7595666666666665
B93 0LE,52.3833,-1.7273166666666666
B93 8FG,52.3833,-1.7273166666666666
B93 8HH,52.3833,-1.7273166666666666
B93 9BN,52.3833,-1.7273166666666666
B93 9DZ,52.3833,-1.7273166666666666
B94 5QA,52.3365,-1.7779142857142858
B95 5BY,52.2681,-1.7908900000000003
B97 4AJ,52.2799,-1.9432875000000005
B97 4EX,52.2799,-1.9432875000000005
B97 4EY,52.2799,-1.9432875000000005
B97 4HL,52.2799,-1.9432875000000005
B97 4JX,52.2799,-1.9432875000000005
B97 4YP,52.2799,-1.9432875000000005
B97 5JB,52.2799,-1.9432875000000005
B97 6LB,52.2799,-1.9432875000000005
B97 6PH,52.2799,-1.9432875000000005
B97 6RF,52.2799,-1.9432875000000005
B98 0HX,52.3238,-1.8961
B98 0SE,52.3238,-1.8961
B98 0SW,52.3238,-1.8961
B98 7LB,52.3238,-1.8961
B98 7RU,52.3238,-1.8961
B98 8JE,52.3238,-1.8961
BA1 1AP,51.3751,-2.3614692307692318
BA1 1DG,51.3751,-2.3614692307692318
BA1 1EB,51.3751,-2.3614692307692318
BA1 1SS,51.3751,-2.3614692307692318
BA1 2AN,51.3751,-2.3614692307692318
BA1 2DR,51.3751,-2.3614692307692318
BA1 2SQ,51.3751,-2.3614692307692318
BA1 3AT,51.3751,-2.3614692307692318
BA1 3DU,51.3751,-2.3614692307692318
BA1 4BX,51.3751,-2.3614692307692318
BA1 5AL,51.3751,-2.3614692307692318
BA1 6AE,51.3751,-2.3614692307692318
BA1 6JQ,51.3751,-2.3614692307692318
BA1 6QA,51.3751,-2.3614692307692318
BA1 6RT,51.3751,-2.3614692307692318
BA10 0AB,51.1231,-2.4373142857142858
BA11 1BS,51.1687,-2.351325
BA11 1RX,51.1687,-2.351325
BA11 2TU,51.1687,-2.351325
BA11 4DH,51.1687,-2.351325
BA11 4LA,51.1687,-2.351325
BA11 4LY,51.1687,-2.351325
BA11 5AD,51.1687,-2.351325
BA11 5LA,51.1687,-2.351325
BA12 6DJ,51.1995,-2.1517500000000003
BA12 7DS,51.1995,-2.1517500000000003
BA12 8EE,51.1995,-2.1517500000000003
BA12 8QA,51.1995,-2.1517500000000003
BA12 9BR,51.1995,-2.1517500000000003
BA12 9FE,51.1995,-2.1517500000000003
BA12 9NT,51.1995,-2.1517500000000003
BA13 3AY,51.2478,-2.163855555555556
BA13 3BG,51.2478,-2.163855555555556
BA13 3GL,51.2478,-2.163855555555556
BA13 3PF,51.2478,-2.163855555555556
BA13 3XW,51.2478,-2.163855555555556
BA14 0DT,51.2969,-2.1876733333333336
BA14 0NS,51.2969,-2.1876733333333336
BA14 6DW,51.2969,-2.1876733333333336
BA14 7AQ,51.2969,-2.1876733333333336
BA14 7HW,51.2969,-2.1876733333333336
BA14 8AT,51.2969,-2.1876733333333336
BA14 8FZ,51.2969,-2.1876733333333336
BA14 8GF,51.2969,-2.1876733333333336
BA14 8JS,51.2969,-2.1876733333333336
BA14 8LS,51.2969,-2.1876733333333336
BA14 8QU,51.2969,-2.1876733333333336
BA14 9DL,51.2969,-2.1876733333333336
BA15 1EJ,51.3477,-2.26495
BA15 1FH,51.3477,-2.26495
BA15 1QT,51.3477,-2.26495
BA15 2AZ,51.3477,-2.26495
BA16 0HP,51.1239,-2.7555666666666667
BA16 0HS,51.1239,-2.7555666666666667
BA16 0HW,51.1239,-2.7555666666666667
BA16 0LP,51.1239,-2.7555666666666667
BA2 0JH,51.3596,-2.391056521739129
BA2 1DB,51.3596,-2.391056521739129
BA2 1LN,51.3596,-2.391056521739129
BA2 2ER,51.3596,-2.391056521739129
BA2 2RY,51.3596,-2.391056521739129
BA2 3FX,51.3596,-2.391056521739129
BA2 3LH,51.3596,-2.391056521739129
BA2 3PJ,51.3596,-2.391056521739129
BA2 4EN,51.3596,-2.391056521739129
BA2 4HP,51.3596,-2.391056521739129
BA2 4QL,51.3596,-2.391056521739129
BA2 4SA,51.3596,-2.391056521739129
BA2 5BP,51.3596,-2.391056521739129
BA2 5EH,51.3596,-2.391056521739129
BA2 5RF,51.3596,-2.391056521739129
BA2 5RU,51.3596,-2.391056521739129
BA2 6AA,51.3596,-2.391056521739129
BA2 7PE,51.3596,-2.391056521739129
BA2 8DN,51.3596,-2.391056521739129
BA2 8DT,51.3596,-2.391056521739129
