postcodes,latitude,longitude
B71 1AN,52.531918,-1.9930724
B71 3AH,52.5404483,-1.9821014
B71 3HS,52.5434152,-1.9838106
B71 4JZ,52.5103744,-1.9691767
B72 1AX,52.5354777,-1.8269516
B72 1PA,52.5622104,-1.8248404
B72 1PH,52.561888,-1.8256825
B72 1QL,52.5571869,-1.8260256
B72 1UP,52.5659922,-1.8228485
B72 1YH,52.5363142,-1.8272727
B73 5AB,52.548351,-1.8609519
B73 5BA,52.5469882,-1.8564732
B73 5TD,52.5498644,-1.8419228
B73 5UB,52.5475531,-1.841238
B73 6RB,52.5506052,-1.8590423
B74 2HE,52.5765584,-1.8834254
B74 3EH,52.58683,-1.8711032
B74 3NA,52.5790775,-1.8854405
B74 4AB,52.5876257,-1.8317798
B74 4BH,52.5888201,-1.8309044
B74 4QY,52.5899481,-1.8472699
B75 5BT,52.587463,-1.8249613
B75 5JX,52.5883076,-1.8186405
B75 6HD,52.5709854,-1.8025261
B75 7BQ,52.5600539,-1.8081067
B76 1DT,52.5301747,-1.7991416
B76 1NQ,52.5401922,-1.8008063
B76 1NY,52.5597119,-1.8023849
B76 1XL,52.5326843,-1.7797153
B76 9AG,52.5289611,-1.769563
B77 1LE,52.6010298,-1.6827382
B77 1LG,52.5994591,-1.6836501
B77 2AU,52.6282474,-1.6748148
B77 2AZ,52.6285019,-1.6758323
B77 2ED,52.6219688,-1.663812
B77 2LA,52.619353,-1.6801243
B77 2NY,52.6110048,-1.6747357
B77 3DG,52.6361339,-1.6596843
B77 3DQ,52.635953,-1.6593015
B77 3LN,52.6331497,-1.6791816
B77 4EW,52.630525,-1.654831
B77 4JA,52.6175714,-1.6508774
B77 5DL,52.606522,-1.67331
B77 5EG,52.6029992,-1.6666001
B77 5EN,52.6014001,-1.6669666
B77 5PS,52.6074616,-1.6401188
B78 1DT,52.6193029,-1.6149408
B78 1DX,52.6204693,-1.6114889
B78 1SS,52.5969961,-1.6112388
B78 1TQ,52.5996647,-1.6163236
B78 1TR,52.6008406,-1.6157818
B78 2HH,52.5676404,-1.6822855
B78 3HB,52.6272222,-1.7020057
B78 3HD,52.6275,-1.705358
B78 3HH,52.6283969,-1.7080698
B78 3NF,52.6198049,-1.7278757
B78 3RB,52.6140622,-1.6988753
B79 7AG,52.6320147,-1.6883948
B79 7DH,52.6340225,-1.6965368
B79 7HE,52.6337603,-1.6924457
B79 7HH,52.6335995,-1.6928458
B79 7LG,52.632017,-1.693579
B79 7LJ,52.633286,-1.6932912
B79 7NJ,52.6334076,-1.6951226
B79 7NU,52.6371896,-1.6941062
B79 7NZ,52.6371375,-1.6948011
B79 8AP,52.6463849,-1.690155
B79 8JT,52.6454727,-1.7097888
B8 2EP,52.4937538,-1.8197803
B8 2NY,52.4916,-1.8596
B8 2XJ,52.496103,-1.8473591
B80 7AR,52.2736494,-1.8947426
B80 7LL,52.2726061,-1.8942761
B9 5NA,52.4777493,-1.8503672
B9 5QH,52.4754589,-1.8449423
B9 5XT,52.4791321,-1.8355503
B90 1JS,52.4057802,-1.8618848
B90 1UA,52.3849903,-1.8369429
B90 2EH,52.4112394,-1.8355085
B90 2NG,52.4046512,-1.8432206
B90 3AG,52.4114343,-1.8271869
B90 3AR,52.4089046,-1.8247859
B90 3ES,52.4033008,-1.8111677
B90 3GG,52.4130189,-1.8287979
B90 3LU,52.4192987,-1.832082
B90 3RP,52.4090618,-1.8101435
B90 4AJ,52.4019941,-1.8206977
B90 4EH,52.391362,-1.7848859
B90 4EN,52.3828931,-1.7897606
B90 4QY,52.401269,-1.8168939
B91 1BQ,52.4291971,-1.7978355
B91 1HT,52.4148948,-1.8091923
B91 2LJ,52.4216323,-1.7755631
B91 2TJ,52.4207438,-1.7370421
B91 3AR,52.4134009,-1.7774131
B91 3AT,52.4143165,-1.7767028
B91 3BP,52.4140625,-1.7754691
B91 3BQ,52.4130256,-1.7739013
B91 3BX,52.4144087,-1.7779373
B91 3DA,52.4151258,-1.776787
B91 3QG,52.4138087,-1.784027
B91 3TB,52.4133234,-1.779266
B92 0EH,52.4452505,-1.7212569
B92 7HS,52.4421737,-1.8111342
B92 7QW,52.4486363,-1.7941859
B92 8JJ,52.4430551,-1.7850023
B92 8JN,52.4449699,-1.7849341
B93 0LE,52.3895015,-1.7362578
B93 8FG,52.3733094,-1.7524969
B93 8HH,52.3732857,-1.7540834
B93 9BN,52.3836266,-1.7551573
B93 9DZ,52.3815417,-1.7512316
B94 5QA,52.3630609,-1.8288292
B95 5BY,52.2925338,-1.7805113
B97 4AJ,52.3074137,-1.9424471
B97 4EX,52.3059393,-1.9423904
B97 4EY,52.3062183,-1.9431673
B97 4HL,52.3053017,-1.9440045
B97 4JX,52.2932826,-1.9457937
B97 4YP,52.3061725,-1.9412608
B97 5JB,52.2829066,-1.9431531
B97 6LB,52.3081785,-1.9677468
B97 6PH,52.3069443,-1.959637
B97 6RF,52.3129949,-1.9390368
B98 0HX,52.2841875,-1.907178
B98 0SE,52.3057331,-1.8824791
B98 0SW,52.3016916,-1.9072881
B98 7LB,52.299888,-1.9249184
B98 7RU,52.2884235,-1.936842
B98 8JE,52.311235,-1.9270701
BA1 1AP,51.3786104,-2.3583762
BA1 1DG,51.3845082,-2.3615262
BA1 1EB,51.3807733,-2.3626319
BA1 1SS,51.3781341,-2.3582719
BA1 2AN,51.3816624,-2.3629838
BA1 2DR,51.3811954,-2.3685553
BA1 2SQ,51.3879237,-2.3648585
BA1 3AT,51.3851158,-2.377022
BA1 3DU,51.3850689,-2.3886183
BA1 4BX,51.3956021,-2.3901306
BA1 5AL,51.3835171,-2.3592624
BA1 6AE,51.3915771,-2.3522257
BA1 6JQ,51.3967335,-2.3538177
BA1 6QA,51.3940558,-2.3471855
BA1 6RT,51.3968404,-2.345108
BA10 0AB,51.1124685,-2.4540817
BA11 1BS,51.2320161,-2.3215585
BA11 1RX,51.2292775,-2.3167989
BA11 2TU,51.2405738,-2.305746
BA11 4DH,51.2171502,-2.3320356
BA11 4LA,51.2303919,-2.3300543
BA11 4LY,51.2089788,-2.3786302
BA11 5AD,51.2212624,-2.3213403
BA11 5LA,51.227395,-2.3044843
BA12 6DJ,51.0902017,-2.2686566
BA12 7DS,51.1678019,-2.1860247
BA12 8EE,51.1999371,-2.1982196
BA12 8QA,51.2053906,-2.1845731
BA12 9BR,51.2052842,-2.1777449
BA12 9FE,51.2058354,-2.1759864
BA12 9NT,51.2021987,-2.1843886
BA13 3AY,51.2652272,-2.1816312
BA13 3BG,51.2606648,-2.1838488
BA13 3GL,51.2554061,-2.1940592
BA13 3PF,51.2578749,-2.1854284
BA13 3XW,51.2647081,-2.1800239
BA14 0DT,51.3092481,-2.2247725
BA14 0NS,51.3125553,-2.2061945
BA14 6DW,51.317098,-2.1946067
BA14 7AQ,51.3166885,-2.2027693
BA14 7HW,51.3219252,-2.2006973
BA14 8AT,51.3205259,-2.2090715
BA14 8FZ,51.318806,-2.212579
BA14 8GF,51.3231136,-2.2101453
BA14 8JS,51.320874,-2.2105081
BA14 8LS,51.3245036,-2.2121895
BA14 8QU,51.3290838,-2.205264
BA14 9DL,51.3204915,-2.2228329
BA15 1EJ,51.3469445,-2.2499116
BA15 1FH,51.3468828,-2.2492938
BA15 1QT,51.3502056,-2.2554289
BA15 2AZ,51.3366443,-2.2520662
BA16 0HP,51.126278,-2.7398838
BA16 0HS,51.1273233,-2.7550052
BA16 0HW,51.125422,-2.7542311
BA16 0LP,51.1234591,-2.7518414
BA2 0JH,51.3276824,-2.474375
BA2 1DB,51.3797705,-2.39468
BA2 1LN,51.3716548,-2.3962335
BA2 2ER,51.366728,-2.3906894
BA2 2RY,51.3572553,-2.3811015
BA2 3FX,51.381125,-2.3875935
BA2 3LH,51.3770493,-2.3773293
BA2 3PJ,51.3767841,-2.3787064
BA2 4EN,51.3826749,-2.3493697
BA2 4HP,51.3798269,-2.3515751
BA2 4QL,51.3743511,-2.3661872
BA2 4SA,51.36981,-2.3662802
BA2 5BP,51.3590839,-2.3601626
BA2 5EH,51.3598613,-2.3468837
BA2 5RF,51.3558757,-2.3711092
BA2 5RU,51.3562925,-2.3672494
BA2 6AA,51.376254,-2.3526396
BA2 7PE,51.2996102,-2.3239816
BA2 8DN,51.3159614,-2.4265022
BA2 8DT,51.3164447,-2.42467
BA2 9HN,51.356485,-2.4848835
BA20 1DL,50.942235,-2.6371537
BA20 1PE,50.9408814,-2.6297341
BA20 1RF,50.9412581,-2.6332405
BA20 1RG,50.9416488,-2.6325057
BA20 2AJ,50.9416,-2.6321
BA20 2AU,50.9351854,-2.6484991
BA20 2HB,50.9428174,-2.668091
BA20 2PH,50.9333892,-2.6513203
BA21 3BL,50.950234,-2.6395835
BA21 3EG,50.9512731,-2.6468297
BA21 3TL,50.9498879,-2.6645196
BA21 4HA,50.9423193,-2.6248715
BA21 4LX,50.9514816,-2.6216916
BA21 4NP,50.9578416,-2.6279701
BA21 5BQ,50.9419656,-2.6084274
BA21 5BT,50.9409842,-2.6069344
BA21 5DW,50.9468717,-2.6125768
BA21 5UB,50.9561972,-2.6125002
BA22 7JE,51.0294281,-2.5722825
BA22 8JS,51.0103693,-2.6819329
BA22 9AA,50.9264719,-2.6676148
BA3 2DL,51.2886764,-2.478662
BA3 2DT,51.2862871,-2.4824227
BA3 2DW,51.2872408,-2.4801097
BA3 3RN,51.2914477,-2.448704
BA3 3RQ,51.2922127,-2.448525
BA3 3SX,51.2866705,-2.4654632
BA3 4AX,51.2790143,-2.4732282
BA3 4JN,51.2587615,-2.5103373
BA3 5JJ,51.2203944,-2.4845971
BA3 5NJ,51.2433097,-2.4498684
